time,DK,Midtjylland,Nordjylland,Sjælland,Syddanmark,Hovedstaden_West,Hovedstaden_East
2013-07-27 14:00:00,3829.247440671199,870.0776347215581,390.22994767107735,553.0891589619139,808.5884728604483,1180.9564724321585,26.305754024042916
2013-07-27 15:00:00,3829.247440671199,870.0776347215581,390.22994767107735,553.0891589619139,808.5884728604483,1180.9564724321585,26.305754024042916
2013-07-27 16:00:00,3833.206598106497,870.9772303706161,390.63341645253774,553.6610120714384,809.4244932832655,1182.177493708802,26.33295221983701
2013-07-27 17:00:00,3836.126423341881,871.6406700344049,390.9309692397279,554.0827460305976,810.0410470747553,1183.077980439817,26.353010522578014
2013-07-27 18:00:00,3845.726557548059,873.8220025788636,391.9092972080703,555.4693710101226,812.0682229042881,1186.0387033501695,26.41896049654503
2013-07-27 19:00:00,3831.052583378011,870.4877973764955,390.4139056823921,553.3498903136967,808.9696489550232,1181.5131862502917,26.318154800111692
2013-07-27 20:00:00,3794.8821651137255,862.2691924265989,386.727860148589,548.1255044449193,801.3318601413769,1170.358072818317,26.06967513392426
2013-07-27 21:00:00,3665.433565665248,832.8560158243557,373.5360460985627,529.4281969172537,773.9973389427099,1130.4355648753042,25.18040300706175
2013-07-27 22:00:00,3321.8192387581275,754.7803245967908,338.5190870522978,479.79720231038357,701.439326395446,1024.4634203041883,22.81987809902097
2013-07-27 23:00:00,3151.183647331273,716.0086823646637,321.12999978515234,455.15092462436775,665.4077106732466,971.838665898787,21.64766398505524
2013-07-28 00:00:00,2948.0348914252854,669.8494325972143,300.4275694473671,425.80850779467676,622.5105762241002,909.1867109465982,20.252094415328887
2013-07-28 01:00:00,2886.5050688843785,655.8686900908367,294.15720436849404,416.92125819080655,609.5178652503205,890.2106475547403,19.82940342918034
2013-07-28 02:00:00,2875.7947731693484,653.4351077989417,293.06574235117256,415.374283611326,607.2562663878083,886.9075460335416,19.755826986558247
2013-07-28 03:00:00,2900.619692448043,659.0758002281502,295.59559373872503,418.95994735802395,612.4983260560457,894.5636585083839,19.92636655871439
2013-07-28 04:00:00,2896.125798847056,658.0547023817411,295.1376312038085,418.31085798191447,611.5493901044471,893.177722285475,19.895494889669916
2013-07-28 05:00:00,3016.714706652272,685.4547890312544,307.4265741127299,435.72848863427885,637.0130882114145,930.3678630069983,20.72390365559599
2013-07-28 06:00:00,3208.599341927614,729.0546169834837,326.98110338839757,463.4439374754616,677.5316774659854,989.5459144386862,22.042092175599695
2013-07-28 07:00:00,3472.100948240917,788.9271788689657,353.83395623638734,501.50360431051797,733.1729920444453,1070.810949486257,23.8522672943439
2013-07-28 08:00:00,3817.522929532472,867.4136034522542,389.0351292533539,551.3956930510712,806.1127110551373,1177.340582487748,26.225210232907433
2013-07-28 09:00:00,3846.709377001483,874.0453177964467,392.00945411613696,555.6113275677302,812.2757562364257,1186.3418091203596,26.425712164383786
2013-07-28 10:00:00,3854.498591642319,875.81517507416,392.8032353665749,556.7363867971015,813.9205361230217,1188.7440366044227,26.47922167703789
2013-07-28 11:00:00,3913.004354326537,889.1087938341278,398.76542534370446,565.1868469929482,826.2746829979167,1206.787466857234,26.881138300605656
2013-07-28 12:00:00,3912.8066852976986,889.0638796822653,398.7452813399609,565.1582960573904,826.2329429691939,1206.7265048738097,26.879780375078155
2013-07-28 13:00:00,3889.138142396096,883.6859378949563,396.333273654105,561.7396570976144,821.235065120829,1199.4270238750612,26.717184753530148
2013-07-28 14:00:00,3870.0885746410495,879.3575148532022,394.39197528062994,558.9881740525856,817.212535592937,1193.5520547888602,26.58632007283436
2013-07-28 15:00:00,3812.917517445074,866.3671664909438,388.5658021216619,550.7304961585859,805.1402267264699,1175.9202534813057,26.193572466106648
2013-07-28 16:00:00,3835.388743624348,871.4730552135406,390.8557939678159,553.9761969864643,809.8852777426603,1182.8504768244202,26.347942889446806
2013-07-28 17:00:00,3834.715111686172,871.3199932627208,390.78714566026804,553.8788988807898,809.743032816314,1182.6427258211872,26.343315244891848
2013-07-28 18:00:00,3845.726557548059,873.8220025788636,391.9092972080703,555.4693710101226,812.0682229042881,1186.0387033501695,26.41896049654503
2013-07-28 19:00:00,3828.1694286359066,869.8326899441831,390.12008990224973,552.9334529702827,808.3608385487859,1180.6240088580064,26.298348412398663
2013-07-28 20:00:00,3763.66728679732,855.1765801275883,383.54682248500177,543.6168872655361,794.7404890744909,1160.7312693392814,25.855238505421124
2013-07-28 21:00:00,3617.60017236397,821.9873617744136,368.6614531520134,522.5192332941923,763.8967823606484,1115.6835394988414,24.85180228386112
2013-07-28 22:00:00,3333.348341377876,757.3999553449397,339.69399182972586,481.4624437893789,703.8738255040017,1028.019045416192,22.899079493637526
2013-07-28 23:00:00,3127.778579412201,710.6906070898119,318.7448422389749,451.7703414859386,660.4654685175503,964.6204417241964,21.486878355728763
2013-07-29 00:00:00,2945.223068327641,669.2105330672259,300.1410229138107,425.40237345723284,621.916828293285,908.319532541978,20.23277805410863
2013-07-29 01:00:00,2907.819165183272,660.7116569612979,296.32927572513523,419.9998253971927,614.0185753359822,896.784007038088,19.97582472557616
2013-07-29 02:00:00,2907.819165183272,660.7116569612979,296.32927572513523,419.9998253971927,614.0185753359822,896.784007038088,19.97582472557616
2013-07-29 03:00:00,2924.008936798097,664.3902800880498,297.97913874076534,422.3382449704808,617.4372268879686,901.7770026258513,20.087043484980846
2013-07-29 04:00:00,3001.486154063323,681.9945730953254,305.8746667544396,433.5289056942553,633.7974088194306,925.6713115241458,20.61928817572591
2013-07-29 05:00:00,3368.928766568793,765.4845026801921,343.31991250356265,486.6016121897636,711.3870306741034,1038.992202432584,23.14350608858723
2013-07-29 06:00:00,3836.913583108564,871.8195276607545,391.0111869115605,554.1964418781679,810.2072646732524,1183.3207439163764,26.35841806845245
2013-07-29 07:00:00,4276.989140250026,971.8130396468329,435.8582918049783,617.760111646242,903.1341460528097,1319.0419490924778,29.381602006685437
